Price,Close,High,Low,Open,Volume
Ticker,EURDZD=X,EURDZD=X,EURDZD=X,EURDZD=X,EURDZD=X
Date,,,,,
2024-07-09,145.00799560546875,144.9980010986328,143.65310668945312,144.86700439453125,0
2024-07-10,144.73899841308594,145.10899353027344,143.78480529785156,144.73300170898438,0
2024-07-11,145.19700622558594,145.71299743652344,143.78480529785156,145.24400329589844,0
2024-07-12,145.33900451660156,146.12399291992188,144.3153076171875,145.33200073242188,0
2024-07-15,146.16400146484375,146.16400146484375,144.5426025390625,146.16400146484375,0
2024-07-16,145.91200256347656,146.052001953125,144.76300048828125,145.88299560546875,0
2024-07-17,145.8459930419922,146.5659942626953,145.12649536132812,146.0850067138672,0
2024-07-18,146.52200317382812,146.6009979248047,144.91879272460938,146.5240020751953,0
2024-07-19,146.125,146.22300720214844,144.8679962158203,145.79100036621094,0
2024-07-22,146.00900268554688,146.25999450683594,144.7574005126953,146.00900268554688,0
2024-07-23,146.01300048828125,146.3159942626953,144.38560485839844,146.02499389648438,0
2024-07-24,145.73399353027344,145.92100524902344,144.19410705566406,145.58799743652344,0
2024-07-25,145.28399658203125,145.69200134277344,144.17799377441406,145.2830047607422,0
2024-07-26,145.3489990234375,145.72799682617188,144.0832977294922,145.41799926757812,0
2024-07-29,145.4029998779297,145.56300354003906,144.08360290527344,145.4029998779297,0
2024-07-30,145.2239990234375,145.5019989013672,144.16000366210938,145.19500732421875,0
2024-07-31,145.21499633789062,145.37100219726562,143.99510192871094,145.0970001220703,0
2024-08-01,145.18899536132812,145.2729949951172,143.6107940673828,145.20599365234375,0
2024-08-02,144.92599487304688,146.5590057373047,143.7248992919922,144.80099487304688,0
2024-08-05,145.96400451660156,147.37899780273438,145.5500030517578,145.96400451660156,0
2024-08-06,146.9720001220703,147.0070037841797,145.31759643554688,146.9530029296875,0
2024-08-07,146.66700744628906,146.75900268554688,145.3249053955078,146.67799377441406,0
2024-08-08,146.5989990234375,146.9669952392578,145.33689880371094,146.65699768066406,0
2024-08-09,146.4550018310547,146.6269989013672,145.01319885253906,146.38400268554688,0
2024-08-12,146.2830047607422,146.67799377441406,145.26390075683594,146.2830047607422,0
2024-08-13,146.55099487304688,146.89599609375,145.29310607910156,146.552001953125,0
2024-08-14,147.14999389648438,147.76499938964844,146.15660095214844,147.13999938964844,0
2024-08-15,147.1719970703125,147.63800048828125,145.95570373535156,147.1909942626953,0
2024-08-16,147.1230010986328,147.28599548339844,145.9550018310547,147.1230010986328,0
2024-08-19,147.5229949951172,148.07699584960938,146.24270629882812,147.5229949951172,0
2024-08-20,147.9709930419922,148.44000244140625,146.8040008544922,147.96400451660156,0
2024-08-21,148.4550018310547,148.93800354003906,147.1365966796875,148.42999267578125,0
2024-08-22,148.68699645996094,148.95700073242188,147.40719604492188,148.7949981689453,0
2024-08-23,148.41600036621094,149.94900512695312,147.37109375,148.5050048828125,0
2024-08-26,149.91099548339844,149.91099548339844,148.03550720214844,149.91099548339844,0
2024-08-27,149.5229949951172,149.63099670410156,147.72470092773438,149.5070037841797,0
2024-08-28,149.15899658203125,149.20199584960938,146.97669982910156,149.1179962158203,0
2024-08-29,148.4040069580078,148.61700439453125,146.69900512695312,148.42100524902344,0
2024-08-30,147.8730010986328,147.95799255371094,147.4980010986328,147.87399291992188,0
2024-09-02,147.43699645996094,147.67999267578125,147.2530059814453,147.43699645996094,0
2024-09-03,147.53199768066406,147.50799560546875,145.4871063232422,147.29800415039062,0
2024-09-04,146.7030029296875,147.11900329589844,145.1840057373047,146.7220001220703,0
2024-09-05,146.85800170898438,147.1529998779297,146.3300018310547,146.84100341796875,0
2024-09-06,146.7270050048828,146.83399963378906,145.2877960205078,146.7259979248047,0
2024-09-09,146.40499877929688,146.40499877929688,144.5738067626953,146.40499877929688,0
2024-09-10,145.81399536132812,145.8979949951172,144.45089721679688,145.77999877929688,0
2024-09-11,145.60800170898438,145.99000549316406,144.55520629882812,145.59300231933594,0
2024-09-12,145.5970001220703,145.8300018310547,144.3050994873047,145.4340057373047,0
2024-09-13,146.21800231933594,146.42100524902344,144.92959594726562,146.28700256347656,0
2024-09-16,146.06700134277344,146.7480010986328,145.33529663085938,146.06700134277344,0
2024-09-17,146.6739959716797,146.85400390625,145.4604034423828,146.7010040283203,0
2024-09-18,146.64300537109375,146.83900451660156,145.59170532226562,146.6529998779297,0
2024-09-19,146.67799377441406,147.19500732421875,145.83299255371094,146.3489990234375,0
